Link,Title,Year,Rating
https://letterboxd.com/film/the-irishman-2019/,The Irishman,2019,3.91
https://letterboxd.com/film/your-name/,Your Name.,2016,4.21
https://letterboxd.com/film/apocalypse-now/,Apocalypse Now,1979,4.44
https://letterboxd.com/film/sound-of-metal/,Sound of Metal,2019,4.18
https://letterboxd.com/film/12-angry-men/,12 Angry Men,1957,4.62
https://letterboxd.com/film/isle-of-dogs-2018/,Isle of Dogs,2018,3.94
https://letterboxd.com/film/the-royal-tenenbaums/,The Royal Tenenbaums,2001,4.09
https://letterboxd.com/film/suicide-squad-2016/,Suicide Squad,2016,1.96
https://letterboxd.com/film/the-handmaiden/,The Handmaiden,2016,4.41
https://letterboxd.com/film/the-hunger-games-catching-fire/,The Hunger Games: Catching Fire,2013,3.64
https://letterboxd.com/film/wonder-woman-2017/,Wonder Woman,2017,3.31
https://letterboxd.com/film/the-nice-guys/,The Nice Guys,2016,3.82
https://letterboxd.com/film/eyes-wide-shut/,Eyes Wide Shut,1999,4.00
https://letterboxd.com/film/the-favourite/,The Favourite,2018,4.04
https://letterboxd.com/film/star-wars-episode-ii-attack-of-the-clones/,Star Wars: Episode II – Attack of the Clones,2002,2.70
https://letterboxd.com/film/the-worst-person-in-the-world/,The Worst Person in the World,2021,4.15
https://letterboxd.com/film/asteroid-city/,Asteroid City,2023,3.63
https://letterboxd.com/film/twilight-2008/,Twilight,2008,2.82
https://letterboxd.com/film/kingsman-the-secret-service/,Kingsman: The Secret Service,2014,3.71
https://letterboxd.com/film/promising-young-woman/,Promising Young Woman,2020,3.68
https://letterboxd.com/film/in-the-mood-for-love/,In the Mood for Love,2000,4.41
https://letterboxd.com/film/toy-story-2/,Toy Story 2,1999,3.93
https://letterboxd.com/film/mother-2017/,mother!,2017,3.45
https://letterboxd.com/film/pans-labyrinth/,Pan's Labyrinth,2006,4.17
https://letterboxd.com/film/spider-man-3/,Spider-Man 3,2007,2.94
https://letterboxd.com/film/moana-2016/,Moana,2016,3.69
https://letterboxd.com/film/halloween-1978/,Halloween,1978,3.83
https://letterboxd.com/film/annihilation/,Annihilation,2018,3.58
https://letterboxd.com/film/bodies-bodies-bodies/,Bodies Bodies Bodies,2022,3.35
https://letterboxd.com/film/bones-and-all/,Bones and All,2022,3.67
https://letterboxd.com/film/big-hero-6/,Big Hero 6,2014,3.75
https://letterboxd.com/film/shaun-of-the-dead/,Shaun of the Dead,2004,3.98
https://letterboxd.com/film/ant-man-and-the-wasp/,Ant-Man and the Wasp,2018,2.95
https://letterboxd.com/film/vertigo/,Vertigo,1958,4.24
https://letterboxd.com/film/the-fabelmans/,The Fabelmans,2022,4.03
https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/,"Three Billboards Outside Ebbing, Missouri",2017,4.02
https://letterboxd.com/film/a-star-is-born-2018/,A Star Is Born,2018,3.60
https://letterboxd.com/film/mamma-mia/,Mamma Mia!,2008,3.66
https://letterboxd.com/film/all-quiet-on-the-western-front-2022/,All Quiet on the Western Front,2022,3.95
https://letterboxd.com/film/the-black-phone/,The Black Phone,2021,3.27
https://letterboxd.com/film/about-time/,About Time,2013,3.95
https://letterboxd.com/film/die-hard/,Die Hard,1988,4.07
https://letterboxd.com/film/john-wick-chapter-4/,John Wick: Chapter 4,2023,3.99
https://letterboxd.com/film/guillermo-del-toros-pinocchio/,Guillermo del Toro's Pinocchio,2022,3.98
https://letterboxd.com/film/jennifers-body/,Jennifer's Body,2009,3.38
https://letterboxd.com/film/venom-2018/,Venom,2018,2.80
https://letterboxd.com/film/toy-story-4/,Toy Story 4,2019,3.48
https://letterboxd.com/film/frozen-2013/,Frozen,2013,3.34
https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,3.05
https://letterboxd.com/film/et-the-extra-terrestrial/,E.T. the Extra-Terrestrial,1982,3.85
https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/,One Flew Over the Cuckoo's Nest,1975,4.35
https://letterboxd.com/film/good-time/,Good Time,2017,4.00
https://letterboxd.com/film/palm-springs-2020/,Palm Springs,2020,3.77
https://letterboxd.com/film/cruella/,Cruella,2021,3.40
https://letterboxd.com/film/free-guy/,Free Guy,2021,3.05
https://letterboxd.com/film/john-wick-chapter-2/,John Wick: Chapter 2,2017,3.69
https://letterboxd.com/film/train-to-busan/,Train to Busan,2016,3.94
https://letterboxd.com/film/the-pianist/,The Pianist,2002,4.34
https://letterboxd.com/film/the-conjuring/,The Conjuring,2013,3.54
https://letterboxd.com/film/thor-the-dark-world/,Thor: The Dark World,2013,2.23
https://letterboxd.com/film/nomadland/,Nomadland,2020,3.85
https://letterboxd.com/film/oceans-eleven-2001/,Ocean's Eleven,2001,3.86
https://letterboxd.com/film/gladiator-2000/,Gladiator,2000,4.06
https://letterboxd.com/film/the-imitation-game/,The Imitation Game,2014,3.77
https://letterboxd.com/film/full-metal-jacket/,Full Metal Jacket,1987,4.20
https://letterboxd.com/film/top-gun/,Top Gun,1986,3.30
https://letterboxd.com/film/charlie-and-the-chocolate-factory/,Charlie and the Chocolate Factory,2005,3.12
https://letterboxd.com/film/the-sixth-sense/,The Sixth Sense,1999,4.00
https://letterboxd.com/film/room-2015/,Room,2015,3.98
https://letterboxd.com/film/the-amazing-spider-man-2/,The Amazing Spider-Man 2,2014,2.79
https://letterboxd.com/film/how-to-train-your-dragon/,How to Train Your Dragon,2010,3.96
https://letterboxd.com/film/ant-man-and-the-wasp-quantumania/,Ant-Man and the Wasp: Quantumania,2023,2.37
https://letterboxd.com/film/john-wick-chapter-3-parabellum/,John Wick: Chapter 3 – Parabellum,2019,3.68
https://letterboxd.com/film/it-chapter-two/,It Chapter Two,2019,2.88
https://letterboxd.com/film/snowpiercer/,Snowpiercer,2013,3.69
https://letterboxd.com/film/the-killing-of-a-sacred-deer/,The Killing of a Sacred Deer,2017,3.76
https://letterboxd.com/film/manchester-by-the-sea/,Manchester by the Sea,2016,4.08
https://letterboxd.com/film/ready-player-one/,Ready Player One,2018,3.20
https://letterboxd.com/film/chungking-express/,Chungking Express,1994,4.30
https://letterboxd.com/film/no-time-to-die-2021/,No Time to Die,2021,3.49
https://letterboxd.com/film/beautiful-boy-2018/,Beautiful Boy,2018,3.82
https://letterboxd.com/film/im-thinking-of-ending-things/,I'm Thinking of Ending Things,2020,3.48
https://letterboxd.com/film/minari/,Minari,2020,4.09
https://letterboxd.com/film/the-big-short/,The Big Short,2015,3.81
https://letterboxd.com/film/girl-interrupted/,"Girl, Interrupted",1999,3.86
https://letterboxd.com/film/city-of-god/,City of God,2002,4.50
https://letterboxd.com/film/citizen-kane/,Citizen Kane,1941,4.23
https://letterboxd.com/film/the-green-knight/,The Green Knight,2021,3.70
https://letterboxd.com/film/school-of-rock/,School of Rock,2003,3.72
https://letterboxd.com/film/the-power-of-the-dog/,The Power of the Dog,2021,3.68
https://letterboxd.com/film/the-hangover/,The Hangover,2009,3.53
https://letterboxd.com/film/scream-2022/,Scream,2022,3.21
https://letterboxd.com/film/a-quiet-place-part-ii/,A Quiet Place Part II,2020,3.45
https://letterboxd.com/film/zombieland/,Zombieland,2009,3.53
https://letterboxd.com/film/casablanca/,Casablanca,1942,4.28
https://letterboxd.com/film/before-sunset/,Before Sunset,2004,4.35
https://letterboxd.com/film/gravity-2013/,Gravity,2013,3.50
https://letterboxd.com/film/m3gan/,M3GAN,2022,2.89
https://letterboxd.com/film/beetlejuice/,Beetlejuice,1988,3.77
https://letterboxd.com/film/hot-fuzz/,Hot Fuzz,2007,4.07
https://letterboxd.com/film/cars/,Cars,2006,3.56
https://letterboxd.com/film/silver-linings-playbook/,Silver Linings Playbook,2012,3.64
https://letterboxd.com/film/memories-of-murder/,Memories of Murder,2003,4.40
https://letterboxd.com/film/kikis-delivery-service/,Kiki's Delivery Service,1989,4.11
https://letterboxd.com/film/mid90s/,mid90s,2018,3.74
https://letterboxd.com/film/boyhood/,Boyhood,2014,3.82
https://letterboxd.com/film/phantom-thread/,Phantom Thread,2017,4.13
https://letterboxd.com/film/v-for-vendetta/,V for Vendetta,2005,3.83
https://letterboxd.com/film/rear-window/,Rear Window,1954,4.37
https://letterboxd.com/film/scream-vi/,Scream VI,2023,3.44
https://letterboxd.com/film/the-lego-movie/,The Lego Movie,2014,3.77
https://letterboxd.com/film/akira/,Akira,1988,4.26
https://letterboxd.com/film/the-queens-gambit/,The Queen's Gambit,2020,4.23
https://letterboxd.com/film/heat-1995/,Heat,1995,4.26
https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/,Fantastic Beasts and Where to Find Them,2016,3.12
https://letterboxd.com/film/fallen-angels/,Fallen Angels,1995,4.20
https://letterboxd.com/film/the-exorcist/,The Exorcist,1973,3.99
https://letterboxd.com/film/easy-a/,Easy A,2010,3.39
